species,spines,leaf_type,life_form,growth_form,n_samples_growth_form,growth_form_simple,biomass_density,n_samples_biomass_density,leaf_length,n_samples_leaf_length,leaf_width,n_samples_leaf_width,plant_height_max,plant_height_mean,n_samples_plant_height,leaf_size,leaf_area,n_samples_leaf_size,biomass_density_ordinal
Rhoicissus digitata,n,palmately_compound,forb,climbing_forb,10,climbing_herb,low,10,9.75,10,9.3,10,330,82.4,10,19.05,91.4,10,1
Rhoicissus tridentata,n,palmately_compound,forb,creeping_forb,15,creeping_herb,low,15,3.56,15,3.50666666666667,15,80,27.3333333333333,15,7.06666666666667,12.93,15,1
Rhynchosia totta,n,palmately_compound,forb,climbing_forb,7,climbing_herb,low,7,3.7,7,4.28571428571429,7,60,34.8571428571429,7,7.98571428571429,16.4428571428571,7,1
Ruellia patula,n,simple,forb,straight_forb,8,straight_herb,medium,8,3.1625,8,1.8375,8,41,22.125,8,5,5.825,8,2
Sansevieria hyacinthoides,n,linear,forb,round_forb,20,round_herb,low,20,35.4,20,4.175,20,60,35.25,20,39.575,149.225,20,1
Schmidtia pappophoroides,n,linear,graminoid,sparse_upward_graminoid,15,straight_herb,low,15,10.92,15,0.42,15,65,38.2,15,11.34,4.55333333333333,15,1
Schotia afra,n,pinnately_compound,tree,tree_single_stemmed,20,single_stemmed_woody,medium,20,4.145,20,2.095,20,520,327.5,20,6.24,8.9445,20,2
Sclerocarya birrea,n,pinnately_compound,tree,tree_single_stemmed,7,single_stemmed_woody,high,7,18.2857142857143,7,10.0714285714286,7,1300,759.857142857143,7,28.3571428571429,190.392857142857,7,3
Scutia myrtina,<2,simple,shrub,shrub_multi_stemmed,7,multi_stemmed_woody,low,7,2.7375,8,1.7,7,270,170.714285714286,7,4.68571428571429,5.14142857142857,7,1
Searsia incisa,n,palmately_compound,tree,shrub_multi_stemmed,10,multi_stemmed_woody,high,10,3.64,10,3.39,10,310,131.1,10,7.03,12.56,10,3
Searsia laevigata,>2,pinnately_compound,shrub,shrub_multi_stemmed,5,multi_stemmed_woody,low,5,4.5,5,3.8,5,342,222.4,5,8.3,17.1,5,1
Searsia pterota,>2,palmately_compound,shrub,shrub_single_stemmed,16,single_stemmed_woody,low,16,4.965,20,4.23,20,250,130.3125,16,9.195,22.612,20,1
Selago corymbosa,n,simple,forb,round_forb,5,round_herb,low,5,1.12,5,0.1,5,26,19,5,1.22,0.112,5,1
Senecio angulatus,n,simple,forb,messy_forb,3,messy_herb,low,3,3.16666666666667,3,2.5,3,65,36.6666666666667,3,5.66666666666667,7.90333333333333,3,1
Senegalia caffra,<2,pinnately_compound,tree,shrub_single_stemmed,2,single_stemmed_woody,low,2,3.5,2,2.7,2,400,220,2,6.2,9.35,2,1
Senegalia nigrescens,<2,pinnately_compound,tree,shrub_single_stemmed,21,single_stemmed_woody,medium,21,6.87142857142857,21,4.36190476190476,21,1300,413.190476190476,21,11.2333333333333,37.0671428571429,21,2
Sesbania bispinosa,n,pinnately_compound,forb,straight_forb,5,straight_herb,low,5,27.4,5,3.94,5,210,148.4,5,31.34,104.92,5,1
Setaria sphacelata,n,linear,graminoid,sparse_upward_graminoid,10,straight_herb,low,10,31.43,10,0.74,10,120,96,10,32.17,24.096,10,1
Sideroxylon inerme,n,simple,tree,tree_multi_stemmed,10,multi_stemmed_woody,medium,10,5.25,10,2.48,10,450,282.4,10,7.73,13.19,10,2
Soft leaf shrub,n,simple,shrub,shrub_multi_stemmed,10,multi_stemmed_woody,high,10,5.59,10,1.95,10,130,84.7,10,7.54,11.179,10,3
Solanum campylacanthum,n,simple,forb,straight_forb,25,straight_herb,medium,25,12.324,25,3.872,25,149,54.68,25,16.196,52.1408,25,2
Sorghum versicolor,n,linear,graminoid,sparse_upward_graminoid,10,straight_herb,low,10,28.05,10,0.85,10,120,86.7,10,28.9,25.39,10,1
Spirostachys africana,n,simple,shrub,shrub_single_stemmed,5,single_stemmed_woody,low,5,4.56,5,1.74,5,500,294.6,5,6.3,8.14,5,1
Sporobolus nitens,n,linear,graminoid,relaxed_tussock_graminoid,2,round_herb,medium,2,9.85,2,0.65,2,8,7.5,2,10.5,6.445,2,2
Stachytarpheta indica,n,simple,forb,straight_forb,6,straight_herb,low,6,7.51666666666667,6,1.03333333333333,6,50,36.6666666666667,6,8.55,8.16666666666667,6,1
Strychnos madagascariensis,n,simple,shrub,shrub_multi_stemmed,2,multi_stemmed_woody,medium,2,2.5,2,1.05,2,26,24.5,2,3.55,2.625,2,2
Syncolostemon bracteosus,n,simple,forb,straight_forb,9,straight_herb,high,9,4.68888888888889,9,1.45555555555556,9,33,21.8888888888889,9,6.14444444444444,7.04444444444444,9,3
Talinum afrum,n,simple,forb,straight_forb,7,straight_herb,low,7,2.71428571428571,7,0.714285714285714,7,20,14.9428571428571,7,3.42857142857143,2.05571428571429,7,1
