plot_id,site_id,elevation_plot,map_plot,mat_plot,npp_plot,ndvi_plot,evi_plot,fire_frequency,years_since_last_fire,last_fire_year
addo_jack_out_16,addo_jack_out,235.000015258789,631.600036621094,18.0500011444092,8134.787963,7191.0936412,3156.4211026,0,,0
addo_jack_out_15,addo_jack_out,204.000015258789,615.700012207031,18.3500003814697,7991.375,6948.9197761,3205.4720149,0,,0
addo_jack_out_14,addo_jack_out,204,615.700012207031,18.3500003814697,7991.375,6948.9197761,3205.4720149,0,,0
addo_jack_out_13,addo_jack_out,203.799346923828,615.700012207031,18.3500003814697,7991.375,6948.9197761,3205.4720149,0,,0
addo_jack_out_12,addo_jack_out,184,615.700012207031,18.3499984741211,7926.6715116,6606.2778499,3192.4147628,0,,0
addo_jack_out_11,addo_jack_out,182.000015258789,615.700012207031,18.3499984741211,7894.3046875,6501.539011,3183.2610238,0,,0
addo_jack_out_10,addo_jack_out,182,615.700012207031,18.3500003814697,7871.525,6432.3407389,3175.2281022,0,,0
addo_jack_out_9,addo_jack_out,175,607.200012207031,18.4500007629395,8078.782197,7087.7289704,3200.9008228,0,,0
addo_jack_out_8,addo_jack_out,172.13151550293,607.200012207031,18.4500007629395,8091.3333333,7122.7798507,3203.7294776,0,,0
addo_jack_out_7,addo_jack_out,174.20361328125,607.200012207031,18.4499988555908,8043.2210884,6955.2786901,3196.563307,0,,0
addo_jack_out_6,addo_jack_out,173.983169555664,607.200012207031,18.4500007629395,7855.5833333,6302.0241636,3168.6152416,0,,0
addo_jack_out_5,addo_jack_out,174,607.200012207031,18.4499988555908,7855.5833333,6302.0241636,3168.6152416,0,,0
addo_jack_out_4,addo_jack_out,174,607.200012207031,18.4500007629395,7855.5833333,6302.0241636,3168.6152416,0,,0
